ID_REF,Breast cancer saliva-1,Breast cancer saliva-2,Breast cancer saliva-3,Breast cancer saliva-4,Breast cancer saliva-5,Breast cancer saliva-6,Breast cancer saliva-7,Breast cancer saliva-8,Breast cancer saliva-9,Breast cancer saliva-10,Healthy control saliva-bc1,Healthy control saliva-bc2,Healthy control saliva-bc3,Healthy control saliva-bc4,Healthy control saliva-bc5,Healthy control saliva-bc6,Healthy control saliva-bc7,Healthy control saliva-bc8,Healthy control saliva-bc9,Healthy control saliva-bc10
228884_at,0.92,8.33,0.06,7.97,0.55,5.03,4.88,0.01,3.6,0.33,8.35,2.35,3.98,6.87,3.17,0.35,5.49,0.01,2.02,0.72
228885_at,482.26,168.03,56.61,268.56,462.93,399.3,577.45,194.11,274.28,74.92,455.82,630.89,655,629.49,610.38,1016.6,564.91,1785.28,824.38,441.89
228886_at,0.78,3.25,2.99,33.42,7.36,5.96,8.53,4.82,2.71,0,3.06,4.89,2.26,1.7,6.26,0.01,6.63,11.62,4.38,3.4
228887_x_at,7.69,8.41,2.23,1.2,1.22,3.49,0,0,5.54,3.38,0,4.72,4.05,3.34,0,0.62,0.01,1.78,0,6.83
228888_at,559.4,332.33,328.39,259.81,197.01,319.11,430.66,536.6,85.72,257.33,110.17,194.98,348.19,107.87,257.18,106.7,212,16.7,433.42,119.22
228889_at,102.21,121.33,152.3,138.76,199.53,55.26,59.15,9.82,48.84,148.16,89.96,194.27,478.49,236.79,121.67,380.89,140.54,798.21,78.99,256.61
228890_at,5.2,0,0.01,0.15,3.82,0,12.96,2.63,0,0.01,4.12,0,5.37,4.11,2.42,0,1.48,1.6,0.54,0.16
228891_at,1538.71,1659.04,1824.47,1774,1585.29,1629.79,1133.8,1977.16,1748.05,1749.62,1960.21,2205.09,1475.9,1082.64,1419.02,1247.16,1520.36,1081.53,2436.85,1647.58
228892_at,77.76,20.55,12.58,3.47,41.31,206.85,68.22,10.89,31.74,6.66,299.64,169.2,509.42,243.54,291.78,338.71,425.92,1146.44,63.83,158.82
228893_at,0,2.88,4.12,3.36,5.36,1.41,1.17,0,2.18,4.75,0.06,3.49,4.13,0,2.35,0.5,3.3,3.13,0.77,0
228894_at,543.11,440.1,521.48,199.28,650.86,542.75,815.23,680.77,661.87,771.65,885.09,576.18,492.83,1105.98,616.34,1002.63,207.09,532.9,576.69,1323.41
228895_s_at,42.02,0.01,127.22,31.33,17.84,47.4,68.75,0,97.72,0,79.13,43.98,28.06,30.13,0.03,10.19,0.02,0.01,0.01,111.69
