TMEM67,RBM8A,UBA6,PAPPA,SMEK2,KHDRBS1,YWHAZ,TAX1BP1,BAZ2A,PSMC6,NBAS,EDEM1,FLI1,GPSM3,RYR1,HSPH1,DUT,IKBKB,ITSN2,SLC25A1,HSP90AA1,ZFAND5,MAGEA10,ELL2,HIGD1A,KLF4,ABHD17B,BVES,EVA1A,RP11-53O19.3,Cancer
139.2947,226.1391,577.5264,48.56067,69.43893,724.971,47.34264,217.7135,60.53773,80.98771,117.2468,1762.051,120.8845,1689.263,61.05989,714.7005,274.8932,52.14064,44.75495,134.0445,1431.908,60.10321,113.0775,49.55711,151.0345,1140.696,189.6719,234.1899,159.1308,175.3679,0
69.21595,54.27167,71.0415,568.0547,305.7675,532.5079,1899.895,2156.148,728.6591,2237.599,461.4334,1257.48,1215.282,1842.667,39.03522,119.3458,158.0184,70.78897,632.1117,496.0538,682.8613,1663.54,130.1844,108.602,3403.542,425.5164,408.299,280.968,55.7098,31.0946,0
70.72231,63.25248,134.1924,61.43112,1312.967,1205.091,1484.999,8927.137,88.91811,17451.17,1285.718,449.8258,337.8904,929.15,74.52384,267.9671,55.74614,308.6079,65.36615,269.7094,2032.129,1328.653,90.51801,1648.315,17489.7,227.0663,138.8845,544.5663,78.77678,155.8884,0
25.42687,65.64829,18.29809,62.62903,925.6445,4530.337,14782.01,30666.58,791.6886,42678.35,67.17112,532.9496,1622.834,1897.164,61.36525,1088.163,397.256,1369.596,4554.814,541.1209,6063.924,8096.071,31.88328,923.1072,33715.87,19.58891,94.36481,482.096,57.62906,62.56731,0
80.94305,452.4008,69.41518,434.8463,133.0894,444.7599,1384.303,3082.164,384.5305,6024.757,178.3548,879.4229,30.7532,1608.44,121.078,1974.867,84.40215,520.2706,1165.104,205.3033,1493.103,2926.912,173.0932,79.40048,3067.34,1477.008,22.94292,423.4244,108.4843,147.4575,0
10.05412,370.905,36.33039,545.0395,495.5287,2545.271,5238.095,23048.43,750.0609,44078.2,590.381,907.9979,1269.016,1213.238,37.41887,1653.128,56.22466,857.5325,4161.211,159.113,6535.986,3154.008,92.42021,475.4269,25019.61,54.19263,229.3514,22.44988,132.6628,11.62566,0
206.006,35.70444,32.0457,36.51514,202.4146,3640.851,1605.06,4087.595,863.2166,2252.144,36.10467,424.9363,1909.815,3453.405,235.0332,376.6879,96.84254,1776.516,2100.378,46.01135,2228.806,2750.465,39.70992,671.1384,4200.097,745.9239,36.73166,255.5975,44.90419,95.69234,0
96.80748,208.9864,223.3555,1740.984,922.0172,105.7817,60.10507,72.69814,74.5098,89.56882,120.9509,2180.41,199.5388,265.0528,134.7497,402.8663,90.61791,1246.523,1101.429,66.31863,1133.861,64.21489,222.2169,652.3736,1581.537,897.54,854.5941,97.00826,125.6774,137.038,0
54.63528,31.96339,23.66071,110.1144,241.8095,7180.134,3081.033,10108.87,883.2215,9128.716,341.7513,1047.597,2656.701,2091.354,710.1713,234.4753,552.082,1410.915,1525.514,53.28728,6680.042,7839.674,77.11666,178.6076,12604.03,50.09327,50.19649,171.8522,60.35947,501.0585,0
284.9757,577.9528,16.3508,50.11786,41.27885,5647.953,12034.99,12418.66,1114.353,36750.23,45.23202,1343.626,1790.242,1098.435,32.46597,970.185,805.5083,1068.926,4359.449,405.2931,7733.7,6896.738,32.26082,30.21117,48101.47,59.8598,80.42292,317.7656,56.32204,31.36891,0
